Scrip Code,Symbol,Scrip Name,ISIN,Instrument Type
500002,ABB,ABB India Ltd,INE117A01022,Equity
500003,AEGISLOG,Aegis Logistics Ltd,INE208C01025,Equity
500008,ARE&M,Amara Raja Energy & Mobility Ltd,INE885A01032,Equity
500009,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,INE432A01017,Equity
500012,ANDHRAPET,Andhra Petrochemicals Ltd,INE714B01016,Equity
500013,ANSALAPI,Ansal Properties & Infrastructure Ltd,INE436A01026,Equity
500014,UTIQUE,Utique Enterprises Ltd,INE096A01010,Equity
500016,ARUNAHTEL,Aruna Hotels Ltd,INE957C01019,Equity
500020,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,INE032A01023,Equity
500023,ASIANHOTNR,Asian Hotels (North) Ltd,INE363A01022,Equity
500027,ATUL,Atul Ltd,INE100A01010,Equity
500028,ATVPR,ATV Projects India Ltd,INE447A01015,Equity
500031,BAJAJELEC,Bajaj Electricals Ltd,INE193E01025,Equity
500032,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,INE306A01021,Equity
500033,FORCEMOT,Force Motors Ltd,INE451A01017,Equity
500034,BAJFINANCE,Bajaj Finance Ltd,INE296A01032,Equity
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,INE119A01028,Equity
500039,BANCOINDIA,Banco Products (India) Ltd,INE213C01025,Equity
500040,ABREL,Aditya Birla Real Estate Ltd,INE055A01016,Equity
500041,BANARISUG,Bannari Amman Sugars Ltd,INE459A01010,Equity
500042,BASF,BASF India Ltd,INE373A01013,Equity
500043,BATAINDIA,Bata India Ltd,INE176A01028,Equity
500048,BEML,BEML Ltd,INE258A01024,Equity
500049,BEL,Bharat Electronics Ltd,INE263A01024,Equity
500052,BEPL,Bhansali Engineering Polymers Ltd,INE922A01025,Equity
500058,BIHSPONG,Bihar Sponge Iron Ltd,INE819C01011,Equity
500059,BILVYAPAR,Bil Vyapar Ltd,INE071A01013,Equity
500060,BIRLACABLE,Birla Cable Ltd,INE800A01015,Equity
500067,BLUESTARCO,Blue Star Ltd,INE472A01039,Equity
500068,DISAQ,Disa India Ltd,INE131C01011,Equity
500069,QUESTCAP,Quest Capital Markets Ltd,INE418C01012,Equity
500074,BPL,BPL Ltd,INE110A01019,Equity
500078,OAL,Oriental Aromatics Ltd,INE959C01023,Equity
500083,CENTEXT,Century Extrusions Ltd,INE281A01026,Equity
500084,CESC,CESC Ltd,INE486A01021,Equity
500085,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,INE085A01013,Equity
500086,EXIDEIND,Exide Industries Ltd,INE302A01020,Equity
500087,CIPLA,Cipla Ltd,INE059A01026,Equity
500089,DICIND,DIC India Ltd,INE303A01010,Equity
500092,CRISIL,CRISIL Ltd,INE007A01025,Equity
500093,CGPOWER,CG Power and Industrial Solutions Ltd,INE067A01029,Equity
500096,DABUR,Dabur India Ltd,INE016A01026,Equity
500097,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,INE495A01022,Equity
500101,ARVIND,Arvind Ltd,INE034A01011,Equity
500103,BHEL,Bharat Heavy Electricals Ltd,INE257A01026,Equity
500104,HINDPETRO,Hindustan Petroleum Corporation Ltd,INE094A01015,Equity
500106,IFCI,IFCI Ltd,INE039A01010,Equity
500108,MTNL,Mahanagar Telephone Nigam Ltd,INE153A01019,Equity
500109,MRPL,Mangalore Refinery and Petrochemicals Ltd,INE103A01014,Equity
500110,CHENNPETRO,Chennai Petroleum Corporation Ltd,INE178A01016,Equity
500112,SBIN,State Bank of India,INE062A01020,Equity
500113,SAIL,Steel Authority of India Ltd,INE114A01011,Equity
500114,TITAN,Titan Company Ltd,INE280A01028,Equity
500116,IDBI,IDBI Bank Ltd,INE008A01015,Equity
500117,DCW,DCW Ltd,INE500A01029,Equity
500119,DHAMPURSUG,Dhampur Sugar Mills Ltd,INE041A01016,Equity
500120,DIAMINESQ,Diamines & Chemicals Ltd,INE591D01014,Equity
500123,ELANTAS,Elantas Beck India Ltd,INE280B01018,Equity
500124,DRREDDY,Dr Reddys Laboratories Ltd,INE089A01031,Equity
500125,EIDPARRY,EID Parry India Ltd,INE126A01031,Equity
500126,PGHL,Procter & Gamble Health Ltd,INE199A01012,Equity
500128,ELECTCAST,Electrosteel Castings Ltd,INE086A01029,Equity
500133,ESABINDIA,Esab India Ltd,INE284A01012,Equity
500135,EPL,EPL Ltd,INE255A01020,Equity
500136,ESTER,Ester Industries Ltd,INE778B01029,Equity
500142,FGP,FGP Ltd,INE512A01016,Equity
500143,PHCAP,PH Capital Ltd,INE160F01013,Equity
500144,FINCABLES,Finolex Cables Ltd,INE235A01022,Equity
500147,COCKERILL,John Cockerill India Ltd,INE515A01019,Equity
500148,UFLEX,Uflex Ltd,INE516A01017,Equity
500150,FOSECOIND,Foseco India Ltd,INE519A01011,Equity
500151,GOLDENTOBC,Golden Tobacco Ltd,INE973A01010,Equity
500153,GANESHBE,Ganesh Benzoplast Ltd,INE388A01029,Equity
500159,METROGLOBL,Metroglobal Ltd,INE085D01033,Equity
500160,GTL,GTL Ltd,INE043A01012,Equity
500163,GODFRYPHLP,Godfrey Phillips India Ltd,INE260B01028,Equity
500164,GODREJIND,Godrej Industries Ltd,INE233A01035,Equity
