Scrip Code,Symbol,Scrip Name,ISIN,Instrument Type
500165,KANSAINER,Kansai Nerolac Paints Ltd,INE531A01024,Equity
500166,GOODRICKE,Goodricke Group Ltd,INE300A01016,Equity
500168,GOODYEAR,Goodyear India Ltd,INE533A01012,Equity
500170,GTNINDS,GTN Industries Ltd,INE537A01013,Equity
500171,GHCL,GHCL Ltd,INE539A01019,Equity
500173,GFLLIMITED,GFL Ltd,INE538A01037,Equity
500174,GLFL,Gujarat Lease Financing Ltd,INE540A01017,Equity
500178,HARCR,Harig Crankshafts Ltd,INE905C01034,Equity
500179,HCL-INSYS,HCL Infosystems Ltd,INE236A01020,Equity
500180,HDFCBANK,HDFC Bank Ltd,INE040A01034,Equity
500182,HEROMOTOCO,Hero MotoCorp Ltd,INE158A01026,Equity
500183,HFCL,HFCL Ltd,INE548A01028,Equity
500184,HSCL,Himadri Speciality Chemical Ltd,INE019C01026,Equity
500185,HCC,Hindustan Construction Company Ltd,INE549A01026,Equity
500186,HINDOILEXP,Hindustan Oil Exploration Company Ltd,INE345A01011,Equity
500187,AGI,Agi Greenpac Ltd,INE415A01038,Equity
500188,HINDZINC,Hindustan Zinc Ltd,INE267A01025,Equity
500189,NDLVENTURE,NDL Ventures Ltd,INE353A01023,Equity
500191,HMT,HMT Ltd,INE262A01018,Equity
500192,PRAGBOS,Prag Bosimi Synthetics Ltd,INE962B01011,Equity
500193,HLVLTD,HLV Ltd,INE102A01024,Equity
500199,IGPL,IG Petrochemicals Ltd,INE204A01010,Equity
500201,INDIAGLYCO,India Glycols Ltd,INE560A01023,Equity
500202,INDLEASE,India Lease Development Ltd,INE333C01013,Equity
500206,MARGOFIN,Margo Finance Ltd,INE680B01019,Equity
500207,INDORAMA,Indo Rama Synthetics (India) Ltd,INE156A01020,Equity
500209,INFY,Infosys Ltd,INE009A01021,Equity
500210,INGERRAND,Ingersoll-Rand (India) Ltd,INE177A01018,Equity
500213,ITHL,International Travel House Ltd,INE262B01016,Equity
500214,IONEXCHANG,Ion Exchange India Ltd,INE570A01022,Equity
500215,SUNDROP,Sundrop Brands Ltd,INE209A01019,Equity
500219,JISLJALEQS,Jain Irrigation Systems Ltd,INE175A01038,Equity
500220,JASCH,Jasch Industries Ltd,INE711C01028,Equity
500227,JINDALPOLY,Jindal Poly Films Ltd,INE197D01010,Equity
500228,JSWSTEEL,JSW Steel Ltd,INE019A01038,Equity
500231,UMANGDAIRY,UMANG DAIRIES LTD.,INE864B01027,Equity
500233,KAJARIACER,Kajaria Ceramics Ltd,INE217B01036,Equity
500234,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,INE437B01014,Equity
500235,KSL,Kalyani Steels Ltd,INE907A01026,Equity
500236,KANELIND,Kanel Industries Limited,INE252C01015,Equity
500238,WHIRLPOOL,Whirlpool of India Ltd,INE716A01013,Equity
500239,KGDENIM,KG Denim Ltd,INE104A01012,Equity
500240,KINETICENG,Kinetic Engineering Ltd,INE266B01017,Equity
500241,KIRLOSBROS,Kirloskar Brothers Ltd,INE732A01036,Equity
500243,KIRLOSIND,Kirloskar Industries Ltd,INE250A01039,Equity
500245,KIRLFER,Kirloskar Ferrous Industries Ltd,INE884B01025,Equity
500246,ENVAIREL,Envair Electrodyne Ltd,INE601C01013,Equity
500247,KOTAKBANK,Kotak Mahindra Bank Ltd,INE237A01028,Equity
500248,KRIFILIND,Krishna Filament Industries Ltd,INE073A01019,Equity
500249,KSB,KSB Ltd,INE999A01023,Equity
500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,INE337A01034,Equity
500251,TRENT,Trent Ltd,INE849A01020,Equity
500252,LMW,LMW Ltd,INE269B01029,Equity
500253,LICHSGFIN,LIC Housing Finance Ltd,INE115A01026,Equity
500257,LUPIN,Lupin Ltd,INE326A01037,Equity
500259,LYKALABS,Lyka Labs Ltd,INE933A01014,Equity
500260,RAMCOCEM,The Ramco Cements Ltd,INE331A01037,Equity
500262,HYBRIDFIN,Hybrid Financial Services Ltd,INE965B01022,Equity
500264,MAFATIND,Mafatlal Industries Ltd,INE270B01035,Equity
500265,MAHSEAMLES,Maharashtra Seamless Ltd,INE271B01025,Equity
500266,MAHSCOOTER,Maharashtra Scooters Ltd,INE288A01013,Equity
500267,MAJESAUT,Majestic Auto Ltd,INE201B01022,Equity
500268,MANALIPETC,Manali Petrochemicals Ltd,INE201A01024,Equity
500270,BARODARY,Baroda Rayon Corporation Ltd,INE461A01024,Equity
500271,MFSL,Max Financial Services Ltd,INE180A01020,Equity
500277,MIDINDIA,Mid India Industries Ltd,INE401C01018,Equity
500279,MIRCELECTR,Mirc Electronics Ltd,INE831A01028,Equity
500280,CENTENKA,Century Enka Ltd,INE485A01015,Equity
500282,MODTHREAD,Modern Thread India Ltd,INE794W01014,Equity
500284,LORDSCHLO,Lords Chloro Alkali Ltd,INE846D01012,Equity
500285,SPICEJET,Spicejet Ltd,INE285B01017,Equity
500288,MOREPENLAB,Morepen Laboratories Ltd,INE083A01026,Equity
500290,MRF,MRF Ltd,INE883A01011,Equity
500292,HEIDELBERG,HeidelbergCement India Ltd,INE578A01017,Equity
500294,NCC,NCC Ltd,INE868B01028,Equity
500295,VEDL,Vedanta Ltd,INE205A01025,Equity
500296,NAHARSPING,Nahar Spinning Mills Ltd,INE290A01027,Equity
500298,NAPEROL,Naperol Investments Ltd,INE585A01020,Equity
500300,GRASIM,Grasim Industries Ltd,INE047A01021,Equity
500302,PEL,PIRAMAL ENTERPRISES LTD.,INE140A01024,Equity
500304,NIITLTD,NIIT Ltd,INE161A01038,Equity
500306,JAYKAY,Jaykay Enterprises Ltd,INE903A01025,Equity
500307,NIRLON,Nirlon Ltd,INE910A01012,Equity
500312,ONGC,Oil and Natural Gas Corporation Ltd,INE213A01029,Equity
500313,OILCOUNTUB,Oil Country Tubular Ltd,INE591A01010,Equity
500314,ORIENTHOT,Oriental Hotels Ltd,INE750A01020,Equity
500317,OSWALAGRO,Oswal Agro Mills Ltd,INE142A01012,Equity
500319,INDSUCR,Indian Sucrose Ltd,INE557C01017,Equity
500322,PANCM,Panyam Cements & Mineral Industries Ltd,INE167E01037,Equity
500325,RELIANCE,Reliance Industries Ltd,INE002A01018,Equity
500327,PILITA,Pil Italica Lifestyle Ltd,INE600A01035,Equity
500330,RAYMOND,Raymond Ltd,INE301A01014,Equity
500331,PIDILITIND,Pidilite Industries Ltd,INE318A01026,Equity
500333,PIXTRANS,Pix Transmissions Ltd,INE751B01018,Equity
500335,BIRLACORPN,Birla Corporation Ltd,INE340A01012,Equity
500336,SURYAROSNI,Surya Roshni Ltd,INE335A01020,Equity
500337,PRIMESECU,Prime Securities Ltd,INE032B01021,Equity
500338,PRSMJOHNSN,Prism Johnson Ltd,INE010A01011,Equity
500339,RAIN,Rain Industries Ltd,INE855B01025,Equity
500342,PRUDMOULI,Prudential Sugar Corporation Ltd,INE024D01016,Equity
500343,AMJLAND,AMJ Land Holdings Ltd,INE606A01024,Equity
500346,PUNJCOMMU,Punjab Communications Ltd,INE609A01010,Equity
500350,RSWM,RSWM Ltd,INE611A01016,Equity
500354,RAJSREESUG,Rajshree Sugars & Chemicals Ltd,INE562B01019,Equity
500355,RALLIS,Rallis India Ltd,INE613A01020,Equity
500356,RAMANEWS,Shree Rama Newsprint Ltd,INE278B01020,Equity
500357,RAMAPPR-B,Rama Paper Mills Ltd,INE425E01013,Equity
500358,RAMAPETRO,Rama Petrochemicals Ltd,INE783A01013,Equity
500360,RAPICUT,Rapicut Carbides Ltd,INE350D01015,Equity
500365,WELSPLSOL,Welspun Specialty Solutions Ltd,INE731F01037,Equity
500366,ROLTA,ROLTA INDIA LTD.,INE293A01013,Equity
500367,RUBFILA,Rubfila International Ltd,INE642C01025,Equity
500368,PATANJALI,Patanjali Foods Ltd,INE619A01035,Equity
500370,SALORAINTL,Salora International Ltd,INE924A01013,Equity
500371,SAMTELIN,Samtel India Ltd,INE538C01017,Equity
500378,JINDALSAW,Jindal Saw Ltd,INE324A01032,Equity
500380,JKLAKSHMI,JK Lakshmi Cement Ltd,INE786A01032,Equity
500387,SHREECEM,Shree Cement Ltd,INE070A01015,Equity
500388,SKPMIL,Shree Krishna Paper Mills & Industries Ltd,INE970C01012,Equity
500389,SILVERLINE,Silverline Technologies Ltd,INE368A01021,Equity
500390,RELINFRA,Reliance Infrastructure Ltd,INE036A01016,Equity
500399,STEELCO,Steelco Gujarat Ltd,INE629B01032,Equity
500400,TATAPOWER,Tata Power Company Ltd,INE245A01021,Equity
500402,SPMLINFRA,SPML Infra Ltd,INE937A01023,Equity
500403,SUNDRMFAST,Sundram Fasteners Ltd,INE387A01021,Equity
500404,SUNFLAG,Sunflag Iron & Steel Company Ltd,INE947A01014,Equity
500405,SPLPETRO,Supreme Petrochem Ltd,INE663A01033,Equity
500407,SWARAJENG,Swaraj Engines Ltd,INE277A01016,Equity
500408,TATAELXSI,Tata Elxsi Ltd,INE670A01012,Equity
500410,ACC,ACC Ltd,INE012A01025,Equity
500411,THERMAX,Thermax Ltd,INE152A01029,Equity
500412,TIRUMALCHM,Thirumalai Chemicals Ltd,INE338A01024,Equity
500413,THOMASCOOK,Thomas Cook (India) Ltd,INE332A01027,Equity
500414,TIMEX,Timex Group India Ltd,INE064A01026,Equity
500418,TOKYOPLAST,Tokyo Plast International Ltd,INE932C01012,Equity
500420,TORNTPHARM,Torrent Pharmaceuticals Ltd,INE685A01028,Equity
500421,TPINDIA,TPI India Ltd,INE578C01021,Equity
500422,TRANSCHEM,Transchem Ltd,INE019B01010,Equity
500425,AMBUJACEM,Ambuja Cements Ltd,INE079A01024,Equity
500426,UTLINDS,UTL Industries Ltd,INE184E01024,Equity
500429,UNIENTER,Uniphos Enterprises Ltd,INE037A01022,Equity
500439,VHL,Vardhman Holdings Ltd,INE701A01023,Equity
500440,HINDALCO,Hindalco Industries Ltd,INE038A01020,Equity
500444,WSTCSTPAPR,West Coast Paper Mills Ltd,INE976A01021,Equity
500449,HOCL,Hindustan Organic Chemicals Ltd,INE048A01011,Equity
500450,MPILCORPL,MPIL Corporation Ltd,INE844C01027,Equity
500456,PASUPTAC,Pasupati Acrylon Ltd,INE818B01023,Equity
500458,TEAM24,Team24 Consumer Products Ltd,INE601A01017,Equity
500459,PGHH,Procter & Gamble Hygiene and Health Care Ltd,INE179A01014,Equity
500460,MUKANDLTD,Mukand Ltd,INE304A01026,Equity
500463,BBOX,Black Box Ltd,INE676A01027,Equity
500464,UCAL,Ucal  Ltd,INE139B01016,Equity
500467,HARRMALAYA,Harrisons Malayalam Ltd,INE544A01019,Equity
500469,FEDERALBNK,Federal Bank Ltd,INE171A01029,Equity
500470,TATASTEEL,Tata Steel Ltd,INE081A01020,Equity
500472,SKFINDIA,SKF India Ltd,INE640A01023,Equity
500477,ASHOKLEY,Ashok Leyland Ltd,INE208A01029,Equity
500480,CUMMINSIND,Cummins India Ltd,INE298A01020,Equity
500483,TATACOMM,Tata Communications Ltd,INE151A01013,Equity
500488,ABBOTINDIA,Abbott India Ltd,INE358A01014,Equity
500490,BAJAJHLDNG,Bajaj Holdings & Investment Ltd,INE118A01012,Equity
500493,BHARATFORG,Bharat Forge Ltd,INE465A01025,Equity
500495,ESCORTS,Escorts Kubota Ltd,INE042A01014,Equity
500500,HINDMOTORS,Hindustan Motors Ltd,INE253A01025,Equity
500510,LT,Larsen & Toubro Ltd,INE018A01030,Equity
500520,M&M,Mahindra & Mahindra Ltd,INE101A01026,Equity
500530,BOSCHLTD,Bosch Ltd,INE323A01026,Equity
500540,PREMIER,Premier Ltd,INE342A01018,Equity
500547,BPCL,Bharat Petroleum Corporation Ltd,INE029A01011,Equity
500550,SIEMENS,Siemens Ltd,INE003A01024,Equity
500570,TMPV,Tata Motors Passenger Vehicles Ltd,INE155A01022,Equity
500575,VOLTAS,Voltas Ltd,INE226A01021,Equity
500620,GESHIP,Great Eastern Shipping Company Ltd,INE017A01032,Equity
500645,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd,INE501A01019,Equity
500650,EXCELINDUS,Excel Industries Ltd,INE369A01029,Equity
500655,GRWRHITECH,Garware Hi-Tech Films Ltd,INE291A01017,Equity
500660,GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,Equity
500670,GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,INE113A01013,Equity
500672,NOVARTIND,Novartis India Ltd,INE234A01025,Equity
500674,SANOFI,Sanofi India Ltd,INE058A01010,Equity
500680,PFIZER,Pfizer Ltd,INE182A01018,Equity
500690,GSFC,Gujarat State Fertilizers & Chemicals Ltd,INE026A01025,Equity
500696,HINDUNILVR,Hindustan Unilever Ltd,INE030A01027,Equity
500710,AKZOINDIA,Akzo Nobel India Ltd,INE133A01011,Equity
500730,NOCIL,NOCIL Ltd,INE163A01018,Equity
500770,TATACHEM,Tata Chemicals Ltd,INE092A01019,Equity
500777,TNPETRO,Tamilnadu Petroproducts Ltd,INE148A01019,Equity
500780,ZUARIIND,Zuari Industries Ltd,INE217A01012,Equity
500790,NESTLEIND,Nestle India Ltd,INE239A01024,Equity
500800,TATACONSUM,Tata Consumer Products Ltd,INE192A01025,Equity
500820,ASIANPAINT,Asian Paints Ltd,INE021A01026,Equity
500825,BRITANNIA,Britannia Industries Ltd,INE216A01030,Equity
500830,COLPAL,Colgate Palmolive (India) Ltd,INE259A01022,Equity
500840,EIHOTEL,EIH Ltd,INE230A01023,Equity
500850,INDHOTEL,Indian Hotels Company Ltd,INE053A01029,Equity
500870,CASTROLIND,Castrol India Ltd,INE172A01027,Equity
500875,ITC,ITC Ltd,INE154A01025,Equity
500877,APOLLOTYRE,Apollo Tyres Ltd,INE438A01022,Equity
500878,CEATLTD,Ceat Ltd,INE482A01020,Equity
500890,MODIRUBBER,Modi Rubber Ltd,INE832A01018,Equity
500940,FINPIPE,Finolex Industries Ltd,INE183A01024,Equity
501110,SUNRINV,Sunrise Industrial Traders Ltd,INE371U01015,Equity
501111,ZGOLDINV,Gold Rock Investments Ltd,INE598F01014,Equity
501144,PEOPLIN,Peoples Investments Ltd,INE644U01015,Equity
501148,DSINVEST,Dalal Street Investments Ltd,INE422D01012,Equity
501150,CENTRUM,Centrum Capital Ltd,INE660C01027,Equity
501151,KARTKIN,Kartik Investments Trust Ltd,INE524U01019,Equity
501242,TCIFINANCE,TCI Finance Ltd,INE911B01018,Equity
501261,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,INE567L01017,Equity
501270,ANTARIKSH,Antariksh Industries Ltd,INE825M01017,Equity
501295,IITL,Industrial Investment Trust Ltd,INE886A01014,Equity
501298,INDPRUD,Industrial & Prudential Investment Company Ltd,INE620D01011,Equity
501301,TATAINVEST,Tata Investment Corporation Ltd,INE672A01026,Equity
501311,JAYBHCR,Jayabharat Credit Ltd,INE998D01011,Equity
501314,PRISMX,Prismx Global Ventures Ltd,INE286N01028,Equity
501343,MOTOGENFIN,Motor & General Finance Ltd,INE861B01023,Equity
501351,RAPIDIN,Rapid Investments Ltd,INE154M01012,Equity
501370,WALCHPF,Walchand Peoplefirst Ltd,INE695D01021,Equity
501386,EENTER,E & E Enterprises Ltd,INE094R01019,Equity
501391,WHBRADY,WH Brady & Company Ltd,INE855A01019,Equity
501421,TECHNVISN,TechNVision Ventures Ltd,INE314H01012,Equity
501423,SHAILY,Shaily Engineering Plastics Ltd,INE151G01028,Equity
501425,BBTC,The Bombay Burmah Trading Corporation Ltd,INE050A01025,Equity
501430,BOMBCYC,Bombay Cycle & Motor Agency Ltd,INE691K01017,Equity
501455,GREAVESCOT,Greaves Cotton Ltd,INE224A01026,Equity
501477,MULLER,Muller & Phipps India Ltd,INE003F01015,Equity
501479,SFTL,Springform Technology Ltd,INE02ZA01012,Equity
501622,AMALGAM,Amalgamated Electricity Company Ltd,INE492N01022,Equity
501630,ANANDPROJ,Anand Projects Ltd,INE134R01013,Equity
501700,INDIANVSH,IndiaNivesh Ltd,INE131H01028,Equity
501831,COASTCORP,Coastal Corporation Ltd,INE377E01024,Equity
501833,CHOWGULSTM,Chowgule Steamships Ltd,INE490A01015,Equity
501848,GLOBOFFS,Global Offshore Services Ltd,INE446C01013,Equity
501945,DHENUBUILD,Dhenu Buildcon Infra Ltd,INE758D01027,Equity
502015,ASIIL,ASI Industries Ltd,INE443A01030,Equity
502090,SAGCEM,Sagar Cements Ltd,INE229C01021,Equity
502133,HEMACEM,HEMADRI CEMENTS LTD.,INE07BK01011,Equity
502137,DECCANCE,Deccan Cements Ltd,INE583C01021,Equity
502157,MANGLMCEM,Mangalam Cement Ltd,INE347A01017,Equity
502168,NCLIND,NCL Industries Ltd,INE732C01016,Equity
502175,SAURASHCEM,Saurashtra Cement Ltd,INE626A01014,Equity
502180,SHREDIGCEM,Shree Digvijay Cement Company Ltd,INE232A01011,Equity
502219,BORORENEW,Borosil Renewables Ltd,INE666D01022,Equity
502250,LERTHAI,Lerthai Finance Ltd,INE347D01011,Equity
502271,RASSIREF,Raasi Refractories Ltd,INE858D01017,Equity
502281,TRIVENIGQ,Triveni Glass Ltd,INE094C01011,Equity
502294,NILACHAL,Nilachal Refractories Ltd,INE416N01013,Equity
502330,ANDHRAPAP,Andhra Paper Ltd,INE435A01051,Equity
502355,BALKRISIND,Balkrishna Industries Ltd,INE787D01026,Equity
502420,ORIENTPPR,Orient Paper & Industries Ltd,INE592A01026,Equity
502445,CITADEL,Citadel Realty and Developers Ltd,INE906D01014,Equity
502448,ROLLT,Rollatainers Ltd,INE927A01040,Equity
502450,SESHAPAPER,Seshasayee Paper and Boards Ltd,INE630A01024,Equity
502587,NATHIND,Nath Industries Ltd,INE777A01023,Equity
502589,VAPIENTER,Vapi Enterprise Ltd,INE464D01014,Equity
502820,DCM,DCM Ltd,INE498A01018,Equity
502850,ZGAEKWAR,Gaekwar Mills Ltd,INE837X01027,Equity
502865,FORBESCO,Forbes & Company Ltd,INE518A01013,Equity
502873,HPCOTTON,HP Cotton Textile Mills Ltd,INE950C01014,Equity
502893,UNITEDINT,United Interactive Ltd,INE706D01018,Equity
502901,JAMSHRI,Jamshri Realty Ltd,INE462D01034,Equity
502933,KATRSPG,Katare Spinning Mills Ltd,INE498G01015,Equity
502937,KESORAMIND,Kesoram Industries Ltd,INE087A01019,Equity
502958,LAKSHMIMIL,Lakshmi Mills Company Ltd,INE938C01019,Equity
502986,VTL,Vardhman Textiles Ltd,INE825A01020,Equity
503031,PENINLAND,Peninsula Land Ltd,INE138A01028,Equity
503092,PASUSPG,Pasupati Spinning & Weaving Mills Ltd,INE909B01020,Equity
503100,PHOENIXLTD,The Phoenix Mills Ltd,INE211B01039,Equity
503101,MARATHON,Marathon Nextgen Realty Ltd,INE182D01020,Equity
503127,RAJABAH,Raja Bahadur International Ltd,INE491N01016,Equity
503162,RELCHEMQ,Reliance Chemotex Industries Ltd,INE750D01016,Equity
503169,RUBYMILLS,Ruby Mills Ltd,INE301D01026,Equity
503229,SIMPLXREA,Simplex Realty Ltd,INE167H01014,Equity
503310,SWANCORP,Swan Corp Ltd,INE665A01038,Equity
503349,VICTMILL,Victoria Mills Ltd,INE203D01016,Equity
503622,ZSVTRADI,SV Trading & Agencies Ltd,INE404N01019,Equity
503624,ZSVARAJT,Svaraj Trading & Agencies Ltd,INE406N01014,Equity
503626,KSHITIJ,Kshitij Investments Ltd,INE733N01011,Equity
503635,SALSAIN,Shree Salasar Investments Ltd,INE315N01017,Equity
503639,INDSOYA,Indsoya Ltd,INE314N01028,Equity
503641,ZODIACVEN,Zodiac Ventures Ltd,INE945J01027,Equity
503657,VEERENRGY,Veer Energy & Infrastructure Ltd,INE255E01030,Equity
503659,SW1,SW Investments Ltd,INE948K01011,Equity
503663,TILAK,Tilak Ventures Ltd,INE026L01022,Equity
503669,KKFIN,K K Fincorp Limited,INE509J01013,Equity
503671,UNIJOLL,Unijolly Investments Company Ltd,INE130N01010,Equity
503675,WAGEND,Wagend Infra Venture Ltd,INE786K01023,Equity
503681,ELCIDIN,EL CID Investments Ltd,INE927X01018,Equity
503685,MEDIAONE,Mediaone Global Entertainment Ltd,INE828I01019,Equity
503689,HEALINV,Healthy Investments Ltd,INE160N01017,Equity
503696,SHRENTI,Shreenath Investment Company Ltd,INE475V01012,Equity
503722,BANSWRAS,Banswara Syntex Ltd,INE629D01020,Equity
503772,MODWOOL,Modella Woollens Ltd,INE380D01012,Equity
503776,MODIPON,Modipon Ltd,INE170C01019,Equity
503804,SHRIDINE,Shri Dinesh Mills Ltd,INE204C01024,Equity
503806,SRF,SRF Ltd,INE647A01010,Equity
503811,SIYSIL,Siyaram Silk Mills Ltd,INE076B01028,Equity
503816,SWADPOL,Swadeshi Polytex Ltd,INE243N01029,Equity
503837,SHRAJSYNQ,Shree Rajasthan Syntex Ltd,INE796C01011,Equity
503863,SHRMFGC,Shree Manufacturing Company Ltd,INE632A01012,Equity
503893,ZSATYASL,Satyam Silk Mills Ltd,INE07MC01015,Equity
503960,BBL,Bharat Bijlee Ltd,INE464A01036,Equity
504000,ELPROINTL,Elpro International Ltd,INE579B01039,Equity
504028,GEE,GEE Ltd,INE064H01021,Equity
504036,HIRECT,Hind Rectifiers Ltd,INE835D01023,Equity
504058,NIPPOBATRY,Indo National Ltd,INE567A01028,Equity
504067,ZENSARTECH,Zensar Technologies Ltd,INE520A01027,Equity
504076,JYOTI,Jyoti Ltd,INE511D01012,Equity
504080,JSLINDL,JSL Industries Ltd,INE581L01018,Equity
504084,KAYCEEI,Kaycee Industries Ltd,INE813G01023,Equity
504092,INDOKEM,Indokem Ltd,INE716F01012,Equity
504093,PANAENERG,Panasonic Energy India Company Ltd,INE795A01017,Equity
504112,NELCO,Nelco Ltd,INE045B01015,Equity
504132,PERMAGN,Permanent Magnets Ltd,INE418E01018,Equity
504176,HIGHENE,High Energy Batteries India Ltd,INE783E01023,Equity
504180,STDBAT,Standard Batteries Ltd,INE502C01039,Equity
504212,UNIVCABLES,Universal Cables Ltd,INE279A01012,Equity
504220,WSI,W. S. Industries (India) Ltd,INE100D01014,Equity
504240,DLTNCBL,Delton Cables Ltd,INE872E01016,Equity
504258,LAKSELEC,Lakshmi Electrical Control Systems Ltd,INE284C01018,Equity
504273,MODULEX,Modulex Construction Technologies Ltd,INE064R01012,Equity
504286,DELTAMAGNT,Delta Manufacturing Ltd,INE393A01011,Equity
504340,LONGSPUR,Longspur International Ventures Ltd,INE180M01033,Equity
504341,RELTD,Ravindra Energy Ltd,INE206N01018,Equity
