date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-11-03 00:00:00+05:30,10.36,10.36,10.36,10.36,0.0,0.0,0.0,0.0
2025-11-04 00:00:00+05:30,10.29,10.29,10.29,10.29,0.0,0.0,0.0,0.0
2025-11-06 00:00:00+05:30,10.26,10.26,10.26,10.26,0.0,0.0,0.0,0.0
2025-11-07 00:00:00+05:30,10.25,10.25,10.25,10.25,0.0,0.0,0.0,0.0
2025-11-10 00:00:00+05:30,10.29,10.29,10.29,10.29,0.0,0.0,0.0,0.0
2025-11-11 00:00:00+05:30,10.34,10.34,10.34,10.34,0.0,0.0,0.0,0.0
2025-11-12 00:00:00+05:30,10.41,10.41,10.41,10.41,0.0,0.0,0.0,0.0
2025-11-13 00:00:00+05:30,10.41,10.41,10.41,10.41,0.0,0.0,0.0,0.0
2025-11-14 00:00:00+05:30,10.42,10.42,10.42,10.42,0.0,0.0,0.0,0.0
2025-11-17 00:00:00+05:30,10.46,10.46,10.46,10.46,0.0,0.0,0.0,0.0
2025-11-18 00:00:00+05:30,10.42,10.42,10.42,10.42,0.0,0.0,0.0,0.0
2025-11-19 00:00:00+05:30,10.48,10.48,10.48,10.48,0.0,0.0,0.0,0.0
2025-11-20 00:00:00+05:30,10.53,10.53,10.53,10.53,0.0,0.0,0.0,0.0
2025-11-21 00:00:00+05:30,10.48,10.48,10.48,10.48,0.0,0.0,0.0,0.0
2025-11-24 00:00:00+05:30,10.44,10.44,10.44,10.44,0.0,0.0,0.0,0.0
2025-11-25 00:00:00+05:30,10.41,10.41,10.41,10.41,0.0,0.0,0.0,0.0
2025-11-26 00:00:00+05:30,10.54,10.54,10.54,10.54,0.0,0.0,0.0,0.0
2025-11-27 00:00:00+05:30,10.54,10.54,10.54,10.54,0.0,0.0,0.0,0.0
2025-11-28 00:00:00+05:30,10.54,10.54,10.54,10.54,0.0,0.0,0.0,0.0
