date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-11-03 00:00:00+05:30,13.59,13.69,13.26,13.5,574004.0,0.0,0.0,
2025-11-04 00:00:00+05:30,13.46,13.48,13.2,13.22,553232.0,0.0,0.0,
2025-11-06 00:00:00+05:30,13.21,13.21,12.68,12.73,1347194.0,0.0,0.0,
2025-11-07 00:00:00+05:30,12.62,13.31,12.48,13.12,869586.0,0.0,0.0,
2025-11-10 00:00:00+05:30,13.2,13.2,12.85,12.89,479212.0,0.0,0.0,
2025-11-11 00:00:00+05:30,12.93,13.5,12.7,13.42,1118549.0,0.0,0.0,
2025-11-12 00:00:00+05:30,13.48,13.48,13.23,13.33,468655.0,0.0,0.0,
2025-11-13 00:00:00+05:30,13.21,14.37,13.21,14.0,1886128.0,0.0,0.0,
2025-11-14 00:00:00+05:30,14.07,14.31,13.86,14.1,966607.0,0.0,0.0,
2025-11-17 00:00:00+05:30,14.4,14.87,13.97,14.11,2203019.0,0.0,0.0,
2025-11-18 00:00:00+05:30,14.07,14.07,13.21,13.34,829766.0,0.0,0.0,
2025-11-19 00:00:00+05:30,13.34,13.38,12.98,13.04,882901.0,0.0,0.0,
2025-11-20 00:00:00+05:30,13.26,13.32,12.9,12.94,567431.0,0.0,0.0,
2025-11-21 00:00:00+05:30,12.9,13.6,12.74,13.12,1113277.0,0.0,0.0,
2025-11-24 00:00:00+05:30,13.15,13.3,12.9,13.09,583244.0,0.0,0.0,
2025-11-25 00:00:00+05:30,13.08,13.08,12.81,12.9,493468.0,0.0,0.0,
2025-11-26 00:00:00+05:30,12.88,13.02,12.86,12.9,305379.0,0.0,0.0,
2025-11-27 00:00:00+05:30,12.99,13.01,12.79,12.81,373948.0,0.0,0.0,
2025-11-28 00:00:00+05:30,12.82,13.29,12.81,12.93,586754.0,0.0,0.0,
