date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-08-01 00:00:00+05:30,13.83,14.06,13.7,13.97,6080869.0,0.0,0.0,
2025-08-04 00:00:00+05:30,15.08,15.36,14.61,15.36,10973232.0,0.0,0.0,
2025-08-05 00:00:00+05:30,15.88,16.12,15.7,16.12,11271298.0,0.0,0.0,
2025-08-06 00:00:00+05:30,16.62,16.71,15.32,15.32,7453398.0,0.0,0.0,
2025-08-07 00:00:00+05:30,14.74,15.79,14.56,15.31,8666753.0,0.0,0.0,
2025-08-08 00:00:00+05:30,15.52,15.7,14.7,15.26,3120857.0,0.0,0.0,
2025-08-11 00:00:00+05:30,15.36,15.36,14.5,14.52,4140020.0,0.0,0.0,
2025-08-12 00:00:00+05:30,14.5,14.93,14.31,14.41,3489319.0,0.0,0.0,
2025-08-13 00:00:00+05:30,14.65,14.65,13.87,14.56,4684621.0,0.0,0.0,
2025-08-14 00:00:00+05:30,14.57,15.28,14.1,15.15,5111676.0,0.0,0.0,
2025-08-18 00:00:00+05:30,15.9,15.9,15.9,15.9,2369884.0,0.0,0.0,
2025-08-19 00:00:00+05:30,16.69,16.69,16.69,16.69,5757994.0,0.0,0.0,
2025-08-20 00:00:00+05:30,17.44,17.52,17.1,17.49,29459587.0,0.0,0.0,
2025-08-21 00:00:00+05:30,17.55,17.7,16.62,16.68,13814226.0,0.0,0.0,
2025-08-22 00:00:00+05:30,16.69,17.01,16.23,16.65,3392528.0,0.0,0.0,
2025-08-25 00:00:00+05:30,16.77,16.92,16.25,16.37,3074533.0,0.0,0.0,
2025-08-26 00:00:00+05:30,16.48,16.48,15.61,15.79,4709693.0,0.0,0.0,
2025-08-28 00:00:00+05:30,15.43,16.38,15.37,15.73,3573999.0,0.0,0.0,
2025-08-29 00:00:00+05:30,15.97,16.51,15.66,16.24,7667458.0,0.0,0.0,
